

  id    device    temperature  date
----  --------  -------------  -------------------
  11         2          37.78  2021-04-14 11:44:56
  12         1          37.91  2021-04-14 11:44:56
  13         1          37.63  2021-04-14 11:44:56
  14         2          36.64  2021-04-14 11:44:56
  15         1          38.11  2021-04-14 11:44:56
  16         1          37.23  2021-04-14 11:44:56
  17         2          38.88  2021-04-14 11:44:56
  18         1          38.79  2021-04-14 11:44:56
  19         1          37.63  2021-04-14 11:44:56
  20         1          38.71  2021-04-14 11:44:56
  21         1          36.31  2021-04-14 11:44:56
  22         1          36.34  2021-04-14 11:44:56
  23         3          36.31  2021-04-14 11:44:56
  24         2          36.43  2021-04-14 11:44:56
  25         3          37     2021-04-14 11:44:56
  26         3          39     2021-04-14 11:44:56
  27         1          36.23  2021-04-14 11:44:56
  28         3          36.26  2021-04-14 11:44:56
  29         2          36.51  2021-04-14 11:44:56
  30         2          36.69  2021-04-14 11:44:56

